spu_code,buyer,DE,ES,FR,IT,GB,US,MX
S240817006515,游宇航,1729555830558201899,1729555830601193515,1729555830510164011,1729555830700087339,1729426038453865515,1729616341594771499,1731790098103240747
S240817007479,吴斐,1729480173022517457,1729480174306498769,1729480173204183249,1729480173637638353,1729426267886882001,1729619617546801361,1731707418850919633
S240818001337,魏冰馨,1729503069166869375,1729503069232733055,1729503069219560319,1729503069228800895,1729427410041606015,1729640961571328895,
S240819005068,范文,1729482890500741654,1729482883430652438,1729482884666137110,1729482886943578646,1729427114896494102,1729632828299383318,1731767687228394006
S240819006756,郑川粤,1729480921527523911,1729480921711221319,1729480922115316295,1729480922088643143,1729425146596462151,1729602633237303879,1732378665485829703
S240819009632,黄依婷,1729489659634621434,1729489658231888890,1729489657795615738,1729489657267198970,1729427080592330746,1729632029926134778,1732229189978000378
S240820001818,魏冰馨,1729503153866643863,1729503153738520983,1729503153867692439,1729503155776821655,1729426316456070551,1729619894945943959,1734212370567234967
S240820002090,吴斐,1729481289224591994,1729481290874329722,1729481303402519162,1729481295981353594,1729425272425582202,1729603248929477242,1732364241658742394
S240820002327,魏冰馨,1729511614006859887,1729511613967013999,1729516574279309423,1729511615085451375,1729425181567061103,1729602963889557615,1731513673362801775
S240820002558,任思宁,1729495519433694026,1729495517622016842,1729495517171522378,1729495517142096714,1729426306159251274,1729619821866619722,1732027590430197578
S240820002720,郑川粤,1729481051582667335,1729481049886005831,1729481051043174983,1729481051357682247,1729425168593882695,1729602871287845447,1732386613825537607
S240820003377,吴斐,1729481245809941114,1729481245729659514,1729481242977671802,1729481245513259642,1729425014637629050,1729600604260635258,1731760188228602490
S240820006565,刘雪莹,1729480021256936261,1729480019220273989,1729480020651514693,1729480020008540997,1729426404169191237,1729621056940774213,1732672422675711813
S240820009530,李泳乐,1729503471080676181,1729503474011511637,1729503471058328405,1729503473654668117,1729426448767749973,1729621926394368853,1733643792304932693
S240821003592,刘雪莹,1729480273222146885,1729480273358068549,1729480274553314117,1729480274776529733,1729426520280829765,1729622778744771397,1732457703817054021
S240821004870,常捷,1729490078676261099,1729490104136800491,1729490103395326187,1729490078667938027,1729427671729736939,1729650573384978667,1731412262993298667
S240822000887,刘雪莹,1729489663950952924,1729489664716675548,1729489665888983516,1729489663395338716,1729426448914025948,1729621932417651164,1731151437117556188
S240822003328,范文,1729507859264805143,1729507860829608215,1729507860639422743,1729507859313826071,1729426306884668695,1729619823639826711,1731421252003923223
